datetime,gym,room,machine,machineId,set,weight,reps,duration,level,incline,hr,notes,zone1,zone2,zone3,zone4,zone5
2026-09-20 11:22:07 AM,Common Machines,Classes,Pilates Reformer,pilates-reformer-class,1,,,50,,,,,,,,,
2026-09-20 11:25:31 AM,Portofino Gym,Machines Room,Seated Chest Press Machine,pm03,1,10,8,,,,,,,,,,
2026-09-20 11:25:31 AM,Portofino Gym,Machines Room,Seated Chest Press Machine,pm03,2,10,8,,,,,,,,,,
2026-09-19 08:57:21 PM,Common Machines,Classes,Zumba,zumba-class,1,,,60,,,,,,,,,
2026-09-19 08:57:27 PM,Common Machines,Classes,Strength Training,strength-training-class,1,,,,,,,,,,,,
2026-09-19 08:57:54 PM,Common Machines,Bodyweight — No Equipment,Squats,squats,1,,10,,,,,,,,,,
2026-09-19 08:57:54 PM,Common Machines,Bodyweight — No Equipment,Squats,squats,2,,10,,,,,,,,,,
2026-09-19 09:02:11 PM,Common Machines,Bodyweight — No Equipment,Meditation,meditation,1,,,10,,,,,,,,,
2026-09-18 08:54:07 PM,Common Machines,Classes,Zumba,zumba-class,1,,,60,,,,,,,,,
2026-09-18 08:54:18 PM,Common Machines,Classes,Strength Training,strength-training-class,1,,,,,,,,,,,,
2026-09-18 09:03:02 PM,Common Machines,Outdoor Activities,Walk,walk,1,,,15,,,,,,,,,
2026-09-18 09:03:07 PM,Common Machines,Bodyweight — No Equipment,Squats,squats,1,,10,,,,,,,,,,
2026-09-18 09:03:07 PM,Common Machines,Bodyweight — No Equipment,Squats,squats,2,,10,,,,,,,,,,
2026-09-16 03:44:50 PM,Common Machines,Cardio,Treadmill,treadmill,1,,,20,3,,,I could read at same time,,,,,
2026-09-16 03:45:30 PM,Common Machines,Bodyweight — No Equipment,Wall Sits,wall-sits,1,,,20,,,,Good,,,,,
2026-09-16 03:47:25 PM,Common Machines,Bodyweight — No Equipment,Leg Lifts,leg-lifts,1,,8,,,,,Fine - easy,,,,,
2026-09-16 04:06:06 PM,Common Machines,Bodyweight — No Equipment,Leg Lifts,leg-lifts,2,,8,,,,,,,,,,
2026-09-16 04:06:06 PM,Common Machines,Bodyweight — No Equipment,Leg Lifts,leg-lifts,3,,10,,,,,,,,,,
2026-09-14 06:07:36 PM,Common Machines,Outdoor Activities,Walk,walk,1,,,1,,,,,,,,,
2026-09-14 06:20:56 PM,Common Machines,Bodyweight — No Equipment,Leg Lifts,leg-lifts,1,,5,,,,,,,,,,
2026-09-14 06:21:13 PM,Common Machines,Bodyweight — No Equipment,Squats,squats,1,,10,,,,,,,,,,
2026-09-14 06:21:36 PM,Common Machines,Bodyweight — No Equipment,Wall Sits,wall-sits,1,,,15,,,,,,,,,
